review,date,product,rating
Product is okay for daily use,2024-04-29,Laptop,3
Excellent value for money,2024-01-02,Tablet,5
Packaging was broken,2024-05-26,Tablet,2
Nothing special but works fine,2024-05-15,Headphones,3
Excellent value for money,2024-04-10,Laptop,5
Not worth the price,2024-03-05,Tablet,1
Terrible experience with support,2024-02-02,Laptop,2
Standard quality,2024-06-15,Phone,3
Customer service was helpful,2024-02-03,Phone,5
Standard quality,2024-04-21,Phone,3
Product is okay for daily use,2024-05-26,Phone,3
Nothing special but works fine,2024-03-12,Headphones,3
Standard quality,2024-03-15,Laptop,3
Great quality and fast delivery,2024-05-29,Laptop,5
Standard quality,2024-03-02,Headphones,3
Packaging was broken,2024-03-27,Phone,1
Terrible experience with support,2024-04-09,Phone,2
Great quality and fast delivery,2024-06-29,Tablet,4
Very bad quality and poor service,2024-03-16,Tablet,1
Packaging was broken,2024-04-21,Headphones,1
Delivery was late and product damaged,2024-03-04,Phone,1
Excellent value for money,2024-03-11,Laptop,4
Average performance,2024-02-10,Phone,3
Customer service was helpful,2024-01-23,Tablet,4
Very happy with the product,2024-03-14,Headphones,4
Average performance,2024-05-05,Tablet,3
Great quality and fast delivery,2024-04-02,Phone,4
Nothing special but works fine,2024-05-01,Headphones,3
Excellent value for money,2024-05-25,Laptop,4
Customer service was helpful,2024-04-07,Phone,5
Delivery was late and product damaged,2024-02-12,Laptop,2
Not worth the price,2024-03-25,Headphones,2
Packaging was broken,2024-05-17,Headphones,2
Average performance,2024-04-05,Laptop,3
Very bad quality and poor service,2024-04-12,Headphones,2
Not worth the price,2024-04-27,Headphones,2
Average performance,2024-05-04,Phone,3
Nothing special but works fine,2024-05-29,Laptop,3
Very happy with the product,2024-05-07,Laptop,4
Nothing special but works fine,2024-04-05,Laptop,3
Very bad quality and poor service,2024-01-12,Phone,2
Price is reasonable,2024-03-15,Laptop,3
Excellent value for money,2024-04-15,Tablet,5
Product is okay for daily use,2024-03-22,Headphones,3
Average performance,2024-02-22,Tablet,3
Price is reasonable,2024-04-18,Laptop,3
Excellent value for money,2024-03-22,Tablet,4
Excellent value for money,2024-01-31,Phone,4
Product is okay for daily use,2024-01-30,Phone,3
Very happy with the product,2024-02-02,Headphones,5
Customer service was helpful,2024-03-20,Laptop,5
Average performance,2024-02-15,Phone,3
Very happy with the product,2024-05-17,Laptop,4
Packaging was broken,2024-03-12,Headphones,2
Standard quality,2024-04-22,Laptop,3
Average performance,2024-03-20,Phone,3
Great quality and fast delivery,2024-05-04,Tablet,5
Very happy with the product,2024-03-22,Laptop,4
Delivery was late and product damaged,2024-02-06,Tablet,2
Average performance,2024-06-22,Laptop,3
Price is reasonable,2024-03-13,Tablet,3
Standard quality,2024-04-02,Phone,3
Customer service was helpful,2024-03-24,Headphones,5
Average performance,2024-02-04,Laptop,3
Nothing special but works fine,2024-01-01,Laptop,3
Nothing special but works fine,2024-03-01,Laptop,3
Not worth the price,2024-03-01,Headphones,2
Terrible experience with support,2024-02-20,Phone,1
Packaging was broken,2024-05-10,Phone,1
Price is reasonable,2024-05-06,Phone,3
Price is reasonable,2024-01-26,Tablet,3
Great quality and fast delivery,2024-03-22,Laptop,5
Average performance,2024-01-10,Tablet,3
Customer service was helpful,2024-04-30,Tablet,5
Product is okay for daily use,2024-04-04,Headphones,3
Delivery was late and product damaged,2024-06-01,Tablet,1
Very bad quality and poor service,2024-06-04,Headphones,1
Excellent value for money,2024-02-27,Headphones,4
Price is reasonable,2024-01-20,Tablet,3
Not worth the price,2024-05-20,Headphones,2
Packaging was broken,2024-06-29,Phone,2
Nothing special but works fine,2024-06-25,Laptop,3
Average performance,2024-04-03,Tablet,3
Excellent value for money,2024-03-14,Headphones,5
Very happy with the product,2024-04-13,Headphones,5
Great quality and fast delivery,2024-03-13,Tablet,4
Packaging was broken,2024-05-11,Phone,2
Product is okay for daily use,2024-04-05,Headphones,3
Amazing performance and good packaging,2024-06-10,Phone,5
Delivery was late and product damaged,2024-01-16,Tablet,1
Price is reasonable,2024-02-02,Laptop,3
Terrible experience with support,2024-01-24,Headphones,1
Product is okay for daily use,2024-02-20,Headphones,3
Amazing performance and good packaging,2024-05-02,Phone,4
Very happy with the product,2024-04-23,Headphones,5
Amazing performance and good packaging,2024-03-27,Headphones,5
Standard quality,2024-03-07,Tablet,3
Not worth the price,2024-06-19,Tablet,2
Price is reasonable,2024-05-07,Headphones,3
Amazing performance and good packaging,2024-06-19,Tablet,4
Terrible experience with support,2024-06-11,Tablet,2
Great quality and fast delivery,2024-04-13,Phone,4
Delivery was late and product damaged,2024-02-17,Phone,2
Excellent value for money,2024-01-07,Laptop,4
Average performance,2024-03-14,Phone,3
Terrible experience with support,2024-06-25,Headphones,1
Standard quality,2024-01-19,Tablet,3
Delivery was late and product damaged,2024-04-17,Headphones,1
Excellent value for money,2024-02-19,Phone,4
Packaging was broken,2024-02-12,Laptop,1
Amazing performance and good packaging,2024-02-20,Laptop,5
Product is okay for daily use,2024-06-16,Laptop,3
Product is okay for daily use,2024-04-26,Headphones,3
Amazing performance and good packaging,2024-01-11,Laptop,5
Price is reasonable,2024-05-20,Headphones,3
Average performance,2024-01-08,Headphones,3
Not worth the price,2024-06-25,Phone,2
Very bad quality and poor service,2024-03-22,Laptop,1
Average performance,2024-04-28,Tablet,3
Excellent value for money,2024-04-24,Headphones,5
Price is reasonable,2024-03-26,Laptop,3
Price is reasonable,2024-06-16,Tablet,3
Great quality and fast delivery,2024-01-31,Laptop,4
Product is okay for daily use,2024-02-12,Headphones,3
Not worth the price,2024-03-19,Tablet,2
Amazing performance and good packaging,2024-05-21,Phone,4
Delivery was late and product damaged,2024-04-03,Headphones,2
Not worth the price,2024-03-19,Headphones,1
Excellent value for money,2024-06-01,Laptop,4
Delivery was late and product damaged,2024-01-25,Phone,1
Great quality and fast delivery,2024-01-26,Phone,5
Packaging was broken,2024-01-09,Laptop,2
Very happy with the product,2024-02-10,Phone,5
Price is reasonable,2024-04-02,Tablet,3
Excellent value for money,2024-04-17,Laptop,5
Great quality and fast delivery,2024-03-07,Laptop,5
Price is reasonable,2024-03-29,Tablet,3
Very happy with the product,2024-05-23,Headphones,5
Standard quality,2024-04-03,Tablet,3
Great quality and fast delivery,2024-05-31,Headphones,5
Not worth the price,2024-05-23,Tablet,2
Standard quality,2024-03-03,Laptop,3
Product is okay for daily use,2024-01-01,Laptop,3
Amazing performance and good packaging,2024-03-09,Tablet,5
Average performance,2024-02-17,Phone,3
Packaging was broken,2024-03-22,Phone,2
Nothing special but works fine,2024-01-04,Phone,3
Product is okay for daily use,2024-03-16,Headphones,3
Nothing special but works fine,2024-05-25,Tablet,3
Delivery was late and product damaged,2024-01-26,Headphones,1
Terrible experience with support,2024-04-04,Headphones,2
Nothing special but works fine,2024-04-23,Headphones,3
Very bad quality and poor service,2024-03-25,Phone,1
Great quality and fast delivery,2024-05-23,Phone,5
Customer service was helpful,2024-03-27,Tablet,4
Customer service was helpful,2024-04-12,Tablet,5
Very happy with the product,2024-01-11,Headphones,5
Very happy with the product,2024-01-21,Headphones,4
Product is okay for daily use,2024-02-01,Laptop,3
Price is reasonable,2024-04-05,Headphones,3
Standard quality,2024-05-16,Tablet,3
Product is okay for daily use,2024-03-08,Headphones,3
Standard quality,2024-05-09,Phone,3
Average performance,2024-04-18,Phone,3
Delivery was late and product damaged,2024-06-08,Laptop,1
Very happy with the product,2024-05-08,Tablet,5
Customer service was helpful,2024-04-26,Phone,5
Delivery was late and product damaged,2024-06-24,Headphones,2
Packaging was broken,2024-05-17,Laptop,2
Delivery was late and product damaged,2024-01-26,Tablet,1
Packaging was broken,2024-05-06,Headphones,1
Packaging was broken,2024-03-04,Tablet,2
Very bad quality and poor service,2024-02-26,Laptop,2
Very happy with the product,2024-01-07,Laptop,5
Very bad quality and poor service,2024-02-03,Headphones,1
Very bad quality and poor service,2024-03-19,Headphones,1
Amazing performance and good packaging,2024-01-05,Tablet,5
Very bad quality and poor service,2024-06-07,Tablet,2
Customer service was helpful,2024-05-06,Phone,5
Nothing special but works fine,2024-04-01,Headphones,3
Delivery was late and product damaged,2024-03-27,Phone,2
Amazing performance and good packaging,2024-05-16,Tablet,5
Terrible experience with support,2024-05-16,Tablet,2
Very bad quality and poor service,2024-03-20,Laptop,2
Amazing performance and good packaging,2024-02-07,Phone,4
Terrible experience with support,2024-05-05,Tablet,1
Great quality and fast delivery,2024-05-13,Phone,4
Very happy with the product,2024-05-16,Headphones,4
Customer service was helpful,2024-05-13,Tablet,4
Product is okay for daily use,2024-06-11,Tablet,3
Very happy with the product,2024-05-22,Phone,4
Average performance,2024-03-21,Tablet,3
Customer service was helpful,2024-01-18,Headphones,4
Customer service was helpful,2024-06-03,Headphones,5
Packaging was broken,2024-02-16,Laptop,2
Price is reasonable,2024-05-11,Phone,3
Excellent value for money,2024-01-31,Phone,5
Terrible experience with support,2024-01-04,Phone,2
Packaging was broken,2024-03-06,Headphones,1
Great quality and fast delivery,2024-06-15,Laptop,5
Delivery was late and product damaged,2024-03-30,Phone,2
Packaging was broken,2024-01-07,Laptop,2
Very happy with the product,2024-02-25,Headphones,4
Price is reasonable,2024-06-12,Phone,3
Packaging was broken,2024-04-06,Phone,1
Terrible experience with support,2024-01-23,Headphones,1
Delivery was late and product damaged,2024-03-16,Laptop,2
Standard quality,2024-03-22,Phone,3
Average performance,2024-02-19,Tablet,3
Very bad quality and poor service,2024-06-17,Tablet,2
Amazing performance and good packaging,2024-02-23,Tablet,4
Nothing special but works fine,2024-06-04,Laptop,3
Terrible experience with support,2024-01-31,Headphones,2
Customer service was helpful,2024-06-11,Phone,4
Not worth the price,2024-06-12,Headphones,1
Very happy with the product,2024-03-24,Laptop,4
Packaging was broken,2024-04-10,Laptop,2
Terrible experience with support,2024-01-05,Tablet,1
Price is reasonable,2024-05-19,Phone,3
Packaging was broken,2024-01-27,Tablet,1
Nothing special but works fine,2024-03-06,Phone,3
Customer service was helpful,2024-06-27,Headphones,5
Packaging was broken,2024-05-12,Laptop,1
Average performance,2024-02-19,Laptop,3
Delivery was late and product damaged,2024-05-24,Tablet,2
Very happy with the product,2024-03-11,Tablet,4
Nothing special but works fine,2024-06-08,Tablet,3
Average performance,2024-06-01,Laptop,3
Amazing performance and good packaging,2024-02-05,Tablet,4
Packaging was broken,2024-05-12,Headphones,2
Delivery was late and product damaged,2024-04-01,Phone,2
Terrible experience with support,2024-06-25,Tablet,1
Packaging was broken,2024-06-04,Headphones,2
Not worth the price,2024-04-22,Laptop,1
Not worth the price,2024-05-19,Tablet,1
Delivery was late and product damaged,2024-02-05,Headphones,2
Not worth the price,2024-03-21,Headphones,1
Average performance,2024-04-28,Headphones,3
Very happy with the product,2024-05-17,Laptop,5
Price is reasonable,2024-03-06,Laptop,3
Very bad quality and poor service,2024-01-11,Tablet,2
Customer service was helpful,2024-05-22,Laptop,5
Terrible experience with support,2024-06-17,Phone,2
Average performance,2024-02-14,Phone,3
Great quality and fast delivery,2024-05-03,Phone,5
Very happy with the product,2024-04-29,Laptop,4
Average performance,2024-06-15,Phone,3
Product is okay for daily use,2024-02-02,Phone,3
Terrible experience with support,2024-02-18,Headphones,1
Terrible experience with support,2024-03-21,Laptop,2
Product is okay for daily use,2024-02-12,Tablet,3
Amazing performance and good packaging,2024-05-09,Phone,4
Product is okay for daily use,2024-01-24,Laptop,3
Amazing performance and good packaging,2024-05-04,Tablet,5
Very happy with the product,2024-03-16,Laptop,5
Nothing special but works fine,2024-03-21,Tablet,3
Very happy with the product,2024-03-03,Headphones,4
Nothing special but works fine,2024-05-15,Tablet,3
Delivery was late and product damaged,2024-01-10,Tablet,1
Amazing performance and good packaging,2024-06-25,Headphones,4
Great quality and fast delivery,2024-06-06,Headphones,4
Customer service was helpful,2024-04-25,Phone,5
Product is okay for daily use,2024-01-12,Headphones,3
Great quality and fast delivery,2024-05-02,Tablet,5
Standard quality,2024-03-18,Laptop,3
Great quality and fast delivery,2024-03-25,Phone,4
Standard quality,2024-03-21,Laptop,3
Terrible experience with support,2024-06-25,Headphones,1
Standard quality,2024-02-18,Headphones,3
Standard quality,2024-05-13,Headphones,3
Very bad quality and poor service,2024-03-31,Headphones,1
Average performance,2024-03-21,Tablet,3
Terrible experience with support,2024-01-08,Phone,2
Product is okay for daily use,2024-06-18,Phone,3
Very bad quality and poor service,2024-01-22,Phone,1
Product is okay for daily use,2024-03-28,Laptop,3
Customer service was helpful,2024-04-12,Phone,4
Average performance,2024-02-01,Headphones,3
Standard quality,2024-01-08,Laptop,3
Not worth the price,2024-02-13,Phone,1
Product is okay for daily use,2024-01-09,Headphones,3
Great quality and fast delivery,2024-01-13,Laptop,5
Average performance,2024-06-16,Tablet,3
Standard quality,2024-06-09,Headphones,3
Nothing special but works fine,2024-04-28,Laptop,3
Amazing performance and good packaging,2024-01-18,Phone,5
Product is okay for daily use,2024-04-25,Headphones,3
Product is okay for daily use,2024-02-14,Headphones,3
Customer service was helpful,2024-01-15,Laptop,5
Packaging was broken,2024-06-01,Laptop,2
Delivery was late and product damaged,2024-05-28,Phone,2
Product is okay for daily use,2024-01-09,Headphones,3
Customer service was helpful,2024-01-29,Tablet,5
Product is okay for daily use,2024-02-28,Tablet,3
Standard quality,2024-03-12,Tablet,3
Great quality and fast delivery,2024-01-23,Headphones,4
Very happy with the product,2024-01-30,Laptop,4
Great quality and fast delivery,2024-05-19,Headphones,5
Price is reasonable,2024-04-22,Headphones,3
Excellent value for money,2024-02-02,Headphones,5
Not worth the price,2024-01-08,Headphones,2
Very bad quality and poor service,2024-03-08,Headphones,2
Excellent value for money,2024-01-20,Phone,4
Customer service was helpful,2024-06-29,Headphones,4
Amazing performance and good packaging,2024-05-04,Laptop,4
Terrible experience with support,2024-06-14,Laptop,1
Terrible experience with support,2024-02-10,Tablet,1
Very happy with the product,2024-03-15,Phone,4
Not worth the price,2024-05-05,Tablet,2
Not worth the price,2024-02-25,Headphones,1
Customer service was helpful,2024-05-24,Phone,5
Excellent value for money,2024-04-10,Tablet,4
Very bad quality and poor service,2024-01-02,Laptop,2
Not worth the price,2024-06-22,Headphones,1
Excellent value for money,2024-02-17,Phone,5
Nothing special but works fine,2024-03-07,Headphones,3
Delivery was late and product damaged,2024-02-19,Headphones,1
Very happy with the product,2024-05-24,Phone,4
Excellent value for money,2024-05-24,Headphones,4
Great quality and fast delivery,2024-04-07,Laptop,5
Delivery was late and product damaged,2024-05-06,Tablet,1
Price is reasonable,2024-06-24,Laptop,3
Packaging was broken,2024-05-04,Headphones,1
Excellent value for money,2024-03-10,Tablet,4
Terrible experience with support,2024-06-03,Tablet,1
Not worth the price,2024-02-13,Laptop,2
Standard quality,2024-02-13,Tablet,3
Average performance,2024-03-30,Headphones,3
Product is okay for daily use,2024-06-20,Headphones,3
Product is okay for daily use,2024-01-30,Tablet,3
Customer service was helpful,2024-04-28,Headphones,5
Average performance,2024-05-17,Tablet,3
Terrible experience with support,2024-01-16,Headphones,1
Standard quality,2024-06-13,Tablet,3
Product is okay for daily use,2024-04-28,Tablet,3
Nothing special but works fine,2024-02-13,Laptop,3
Very bad quality and poor service,2024-02-16,Tablet,2
Customer service was helpful,2024-04-09,Headphones,5
Customer service was helpful,2024-04-13,Tablet,5
Very bad quality and poor service,2024-05-06,Tablet,2
Price is reasonable,2024-05-29,Headphones,3
Standard quality,2024-06-28,Laptop,3
Excellent value for money,2024-06-09,Phone,4
Amazing performance and good packaging,2024-02-14,Phone,5
Nothing special but works fine,2024-02-29,Laptop,3
Amazing performance and good packaging,2024-05-20,Tablet,5
Amazing performance and good packaging,2024-05-05,Headphones,4
Terrible experience with support,2024-02-04,Headphones,1
Great quality and fast delivery,2024-04-24,Laptop,5
Excellent value for money,2024-06-29,Headphones,5
Price is reasonable,2024-01-10,Tablet,3
Price is reasonable,2024-05-21,Headphones,3
Delivery was late and product damaged,2024-03-30,Phone,2
Packaging was broken,2024-04-20,Tablet,1
Delivery was late and product damaged,2024-04-08,Phone,1
Great quality and fast delivery,2024-04-28,Tablet,4
Not worth the price,2024-02-25,Headphones,2
Excellent value for money,2024-03-08,Tablet,5
Very bad quality and poor service,2024-05-27,Laptop,1
Average performance,2024-03-22,Headphones,3
Product is okay for daily use,2024-02-03,Phone,3
Excellent value for money,2024-04-24,Tablet,4
Terrible experience with support,2024-04-11,Headphones,1
Price is reasonable,2024-06-20,Tablet,3
Very bad quality and poor service,2024-06-23,Laptop,1
Great quality and fast delivery,2024-05-06,Headphones,4
Nothing special but works fine,2024-04-28,Phone,3
Excellent value for money,2024-01-29,Laptop,5
Very happy with the product,2024-03-04,Headphones,5
Product is okay for daily use,2024-03-07,Laptop,3
Great quality and fast delivery,2024-03-19,Headphones,5
Packaging was broken,2024-04-12,Tablet,1
Price is reasonable,2024-01-04,Phone,3
Packaging was broken,2024-05-02,Headphones,2
Terrible experience with support,2024-02-11,Headphones,2
Great quality and fast delivery,2024-03-24,Laptop,4
Not worth the price,2024-03-04,Headphones,1
Not worth the price,2024-02-12,Phone,2
Terrible experience with support,2024-01-08,Laptop,1
Standard quality,2024-01-20,Laptop,3
Packaging was broken,2024-02-02,Headphones,2
Standard quality,2024-03-05,Tablet,3
Product is okay for daily use,2024-06-27,Phone,3
Product is okay for daily use,2024-05-02,Laptop,3
Average performance,2024-04-24,Headphones,3
Great quality and fast delivery,2024-04-04,Headphones,4
Very happy with the product,2024-05-21,Tablet,4
Customer service was helpful,2024-02-29,Phone,5
Not worth the price,2024-03-07,Headphones,1
Price is reasonable,2024-03-27,Phone,3
Price is reasonable,2024-01-26,Laptop,3
Packaging was broken,2024-06-09,Phone,1
Great quality and fast delivery,2024-04-21,Headphones,5
Nothing special but works fine,2024-06-08,Laptop,3
Very bad quality and poor service,2024-02-16,Phone,2
Terrible experience with support,2024-04-03,Tablet,2
Excellent value for money,2024-05-05,Phone,4
Product is okay for daily use,2024-02-16,Tablet,3
Delivery was late and product damaged,2024-05-22,Laptop,2
Price is reasonable,2024-01-27,Laptop,3
Price is reasonable,2024-04-04,Laptop,3
Not worth the price,2024-06-04,Laptop,1
Packaging was broken,2024-03-10,Headphones,1
Not worth the price,2024-02-26,Laptop,1
Very happy with the product,2024-01-30,Tablet,5
Standard quality,2024-04-10,Tablet,3
Customer service was helpful,2024-01-05,Headphones,4
Not worth the price,2024-06-28,Tablet,2
Terrible experience with support,2024-06-09,Headphones,2
Not worth the price,2024-04-20,Headphones,2
Very bad quality and poor service,2024-06-23,Tablet,1
Product is okay for daily use,2024-01-23,Headphones,3
Average performance,2024-01-01,Phone,3
Delivery was late and product damaged,2024-06-13,Laptop,1
Very bad quality and poor service,2024-05-10,Phone,1
Product is okay for daily use,2024-06-01,Headphones,3
Delivery was late and product damaged,2024-02-10,Phone,2
Terrible experience with support,2024-03-04,Laptop,2
Very happy with the product,2024-06-16,Laptop,4
Delivery was late and product damaged,2024-06-16,Laptop,1
Packaging was broken,2024-05-16,Phone,2
Amazing performance and good packaging,2024-06-24,Tablet,4
Not worth the price,2024-04-03,Headphones,2
Average performance,2024-05-31,Headphones,3
Packaging was broken,2024-05-08,Tablet,2
Very happy with the product,2024-05-15,Phone,4
Very happy with the product,2024-01-25,Headphones,4
Nothing special but works fine,2024-06-08,Headphones,3
Great quality and fast delivery,2024-03-11,Phone,5
Average performance,2024-04-03,Phone,3
Price is reasonable,2024-02-17,Headphones,3
Standard quality,2024-06-25,Laptop,3
Excellent value for money,2024-05-03,Laptop,5
Packaging was broken,2024-04-06,Laptop,1
Very bad quality and poor service,2024-05-12,Tablet,2
Price is reasonable,2024-02-20,Phone,3
Delivery was late and product damaged,2024-06-04,Headphones,2
Product is okay for daily use,2024-01-23,Tablet,3
Customer service was helpful,2024-01-08,Phone,4
Product is okay for daily use,2024-06-14,Laptop,3
Nothing special but works fine,2024-01-22,Phone,3
Not worth the price,2024-03-23,Phone,1
Nothing special but works fine,2024-04-26,Phone,3
Customer service was helpful,2024-06-03,Laptop,5
Packaging was broken,2024-01-05,Tablet,1
Average performance,2024-06-01,Laptop,3
Amazing performance and good packaging,2024-04-27,Laptop,4
Excellent value for money,2024-02-15,Headphones,5
Standard quality,2024-06-19,Phone,3
Very happy with the product,2024-05-31,Laptop,5
Very happy with the product,2024-06-13,Tablet,5
Product is okay for daily use,2024-03-27,Phone,3
Very bad quality and poor service,2024-01-07,Tablet,2
Great quality and fast delivery,2024-05-09,Laptop,4
Customer service was helpful,2024-02-15,Tablet,5
Product is okay for daily use,2024-04-20,Tablet,3
Amazing performance and good packaging,2024-05-12,Phone,5
Great quality and fast delivery,2024-02-07,Laptop,4
Great quality and fast delivery,2024-02-26,Headphones,5
Great quality and fast delivery,2024-03-14,Phone,4
Amazing performance and good packaging,2024-02-10,Tablet,4
Delivery was late and product damaged,2024-05-23,Phone,2
Not worth the price,2024-05-30,Laptop,1
Nothing special but works fine,2024-03-19,Tablet,3
Average performance,2024-01-01,Phone,3
Amazing performance and good packaging,2024-06-24,Tablet,5
Average performance,2024-02-08,Tablet,3
Price is reasonable,2024-04-23,Headphones,3
Customer service was helpful,2024-04-18,Tablet,5
Very bad quality and poor service,2024-02-23,Phone,2
Great quality and fast delivery,2024-01-06,Tablet,4
Amazing performance and good packaging,2024-06-08,Headphones,4
Terrible experience with support,2024-06-17,Headphones,2
Very bad quality and poor service,2024-02-13,Laptop,2
Product is okay for daily use,2024-06-19,Headphones,3
Customer service was helpful,2024-06-26,Phone,4
Terrible experience with support,2024-05-14,Tablet,2
Nothing special but works fine,2024-01-23,Tablet,3
Standard quality,2024-04-07,Headphones,3
Product is okay for daily use,2024-05-10,Phone,3
Very happy with the product,2024-06-06,Laptop,5
Very bad quality and poor service,2024-01-26,Headphones,2
Great quality and fast delivery,2024-05-30,Tablet,4
Great quality and fast delivery,2024-02-12,Headphones,5
Average performance,2024-05-24,Phone,3
Excellent value for money,2024-05-06,Phone,5
Standard quality,2024-01-28,Phone,3
Product is okay for daily use,2024-05-04,Headphones,3
Excellent value for money,2024-02-11,Laptop,4
Delivery was late and product damaged,2024-06-03,Phone,1
Product is okay for daily use,2024-05-28,Tablet,3
Excellent value for money,2024-05-14,Laptop,4
Average performance,2024-05-15,Tablet,3
Not worth the price,2024-03-25,Phone,1
Great quality and fast delivery,2024-06-12,Phone,5
Amazing performance and good packaging,2024-06-04,Phone,5
Excellent value for money,2024-01-30,Tablet,5
Nothing special but works fine,2024-05-15,Headphones,3
Delivery was late and product damaged,2024-01-08,Tablet,2
Standard quality,2024-03-31,Headphones,3
